Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
144 Moreland Avenue NE,Atlanta,GA,30307,"$1,422 - $2,500",NA,25,Apartment,"602-1,199",,0,0,1,1,3,NA,65,NA,20,NA,0,0,1,3,1,4,82,11,1,3,127,6,44,23,158,31,118,59,33.756757,-84.349209,4,18337,3.14,10.1,34.7,1.78,58,2.9,1000,0.44,0.011,1.7,0.094,0.00015,34,40,28,1,6,5,7,https://www.trulia.com/c/ca/atlanta/station-r-apartments-144-moreland-ave-ne-atlanta-ga-30307--2092026561,4002569777,13,121,3100,2007,1.3121E+14,Block 2007,G5040,U,3817,U,S,32298,0,33.7573,-84.3500719
225 26th Street Northwest,Atlanta,GA,30309,"$1,355 - $2,495",2005,326,Apartment,"560-1,800",,0,0,1,1,0,0,0,0,0,0,1,7,1,6,1,7,88,5,0,6,106,5,29,12,150,28,143,51,33.802895,-84.399685,4,15707,3.14,10.2,34.7,2.31,62,3.1,7000,0.22,0.012,1,0.067,0.00079,33,38,28,3,3,5,5,https://www.trulia.com/c/ca/atlanta/the-row-at-twenty-sixth-apartments-225-26th-st-nw-atlanta-ga-30309--2092043901,4027157341,13,121,9101,4006,1.3121E+14,Block 4006,G5040,U,3817,U,S,33383,0,33.803079,-84.3985401
177 North Colonial Homes Circle NW,Atlanta,GA,30309,"$1,599 - $2,429",NA,182,Apartment,"1,077-1,209",,2,2,1,1,1,NA,80,NA,10,NA,1,7,1,6,1,7,88,5,0,6,62,3,12,6,83,6,93,35,33.814691,-84.395812,4,13951,3.14,10.2,34.8,2.02,60,2.9,3500,0.28,0.012,0.99,0.072,0.00032,20,23,18,1,3,5,14,https://www.trulia.com/c/ca/atlanta/coho-apartments-177-n-colonial-homes-cir-nw-atlanta-ga-30309--2030456761,4029419883,13,121,9101,1002,1.3121E+14,Block 1002,G5040,U,3817,U,S,372222,0,33.8142331,-84.3997173
1205 Metropolitan Avenue SE,Atlanta,GA,30316,"$1,465 - $2,625",2016,329,Apartment,"840-1,220",,1,1,1,1,17,NA,67,NA,25,NA,1,6,1,3,1,4,92,7,0,0,64,2,23,16,54,9,45,32,33.741597,-84.348227,4,13606,3.14,10,34.6,1.79,59,3.1,2800,0.52,0.011,1.8,0.11,0.00059,40,48,31,1,11,7,10,https://www.trulia.com/c/ca/atlanta/alexan-east-atlanta-village-1205-metropolitan-ave-se-atlanta-ga-30316--2092092632,4012047839,13,89,20900,1039,1.3089E+14,Block 1039,G5040,U,3817,U,S,46095,0,33.7408516,-84.3476393
4403 Northside Parkway Northwest,Atlanta,GA,30327,"$665 - $4,940",NA,110,Apartment,"563-2,000",,0,0,1,1,0,0,0,0,0,0,1,9,1,6,1,7,99,0,0,0,40,1,7,5,33,5,29,11,33.864556,-84.450246,4,5241,3.14,10.2,35.1,1.63,56,2.5,2400,0.067,0.013,0.79,0.064,0.093,18,22,14,1,1,8,14,https://www.trulia.com/c/ca/atlanta/post-riverside-4403-northside-pkwy-nw-atlanta-ga-30327--2092152280,4037139803,13,121,9802,2035,1.3121E+14,Block 2035,G5040,U,3817,U,S,822989,13095,33.8683728,-84.4509025
6200 Bakers Ferry Road Southwest,Atlanta,GA,30331,"$975 - $1,300",NA,222,Apartment,"846-1,365",,1,1,1,1,80,NA,709,NA,106,NA,1,5,1,4,1,5,85,14,0,0,15,0,0,3,7,0,4,1,33.725249,-84.571087,4,3663,3.14,9.89,34.3,0.741,48,2.1,70,0.013,0.014,4,0.044,0.27,65,100,30,1,2,5,7,https://www.trulia.com/c/ca/atlanta/ashford-spring-lake-6200-bakers-ferry-rd-sw-atlanta-ga-30331--2092173855,4038027226,13,121,10303,2019,1.3121E+14,Block 2019,G5040,U,3817,U,S,3002873,76311,33.7257145,-84.5530028
600 Phipps Boulevard Northeast,Atlanta,GA,30326,"$1,280 - $5,190",2008,110,Apartment,"606-1,549",,0,0,1,1,1,NA,133,NA,14,NA,1,7,1,6,1,7,86,10,0,5,165,3,36,36,448,19,152,56,33.852824,-84.365306,4,16439,3.14,10.2,35.2,1.62,60,2.7,1800,0.14,0.012,0.23,0.11,0.00033,19,23,14,3,2,4,15,https://www.trulia.com/c/ca/atlanta/post-alexander-600-phipps-blvd-ne-atlanta-ga-30326--1999997910,4042665999,13,121,10002,3017,1.3121E+14,Block 3017,G5040,U,3817,U,S,200116,0,33.8546154,-84.3671176
525 Glen Iris Drive Northeast,Atlanta,GA,30308,"$1,626 - $3,636",2008,319,Apartment,"805-1,620",,1,1,1,1,3,NA,137,NA,6,NA,1,3,1,8,1,6,72,8,1,16,229,10,106,34,226,59,190,77,33.768885,-84.367677,4,29455,3.14,10.1,34.7,2.48,65,3.3,3800,0.37,0.011,1,0.081,2.10E-05,37,43,31,1,5,4,7,https://www.trulia.com/c/ca/atlanta/amli-old-4th-ward-525-glen-iris-dr-ne-atlanta-ga-30308--2092034428,4027420383,13,121,1700,1002,1.3121E+14,Block 1002,G5040,U,3817,U,S,39492,0,33.7690071,-84.3659227
1845 Piedmont Avenue NE,Atlanta,GA,30324,"$1,420 - $4,350",2015,123,Apartment,"476-2,016",,0,0,1,1,10,NA,129,NA,14,NA,1,9,1,8,1,6,93,5,0,2,65,4,35,4,136,7,132,39,33.80624,-84.366882,4,11732,3.14,10.2,34.8,2.03,60,2.9,3800,0.3,0.011,0.92,0.079,0,23,25,21,3,3,3,9,https://www.trulia.com/c/ca/atlanta/morningside-atlanta-by-windsor-1845-piedmont-ave-ne-atlanta-ga-30324--2092140419,4018773868,13,121,100,3010,1.3121E+14,Block 3010,G5040,U,3817,U,S,106218,0,33.8055906,-84.3652943
222 14th Street Northeast,Atlanta,GA,30309,"$1,415 - $3,330",NA,349,Apartment,"484-1,503",,0,0,1,1,0,0,0,0,0,0,1,9,1,8,1,6,88,5,0,6,241,9,105,40,162,75,172,74,33.7865,-84.380662,4,25526,3.14,10.2,34.7,3.08,72,3.9,4000,0.34,0.012,0.68,0.071,6.00E-06,26,31,18,2,2,2,6,https://www.trulia.com/c/ca/atlanta/windsor-at-midtown-222-14th-st-ne-atlanta-ga-30309--1001650397,4016930248,13,121,400,2016,1.3121E+14,Block 2016,G5040,U,3817,U,S,114742,0,33.7875669,-84.3807473
