Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
1972 Newfort Drive Northwest,Atlanta,GA,30318,"$2,045 ",2016,54,Single-Family Home,"1,950",,3,3,2,2,NA,NA,50,NA,12,NA,1,4,1,6,1,7,79,17,0,0,5,0,0,1,4,0,8,3,33.766871,-84.413826,4,17279,3.14,10.1,34.6,1.91,59,2.9,2200,0.32,0.012,0.7,0.071,0.00037,71,84,68,2,24,4,6,https://www.trulia.com/c/ca/atlanta/1972-newfort-dr-nw-atlanta-ga-30318--2194307296,4043001480,13,121,2300,1003,1.3121E+14,Block 1003,G5040,U,3817,U,S,12012,0,33.7668718,-84.4132078
1947 Boulderview,Atlanta,GA,30316,"$1,350 ",1954,48,Single-Family Home,NA,,3,3,2,2,103,5,393,NA,NA,NA,0,0,1,2,1,3,92,7,0,0,7,1,3,0,8,1,6,2,33.705078,-84.311249,4,8245,3.14,9.94,34.5,1.42,54,2.9,820,0.33,0.01,0.96,0.21,3.00E-05,69,86,52,0,16,6,13,https://www.trulia.com/c/ca/atlanta/1947-boulderview-atlanta-ga-30316--2351970823,4046812147,13,89,23803,3004,1.3089E+14,Block 3004,G5040,U,3817,U,S,110597,0,33.7037698,-84.3115593
2035 Settle Circle Southeast,Atlanta,GA,30316,"$1,800 ",1955,6,Single-Family Home,NA,,3,3,2,2,103,5,393,NA,NA,NA,1,2,1,2,1,3,92,7,0,0,8,1,3,1,6,1,7,5,33.732082,-84.325167,4,9908,3.14,10,34.6,1.63,58,3.1,1900,0.47,0.011,0.93,0.13,7.30E-05,61,77,45,1,12,9,12,https://www.trulia.com/c/ca/atlanta/2035-settle-cir-se-atlanta-ga-30316--1073067434,3204161649,13,89,23700,2017,1.3089E+14,Block 2017,G5040,U,3817,U,S,25368,0,33.7319478,-84.3258885
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.607467,-84.457623,4,8852,3.14,9.86,34.1,1.46,59,5.3,1300,0.075,0.011,0.88,0.086,0,75,98,51,1,18,8,7,https://www.trulia.com/c/ca/atlanta/5329-denny-dr-atlanta-ga-30349--1043699268,NA,13,63,40203,2032,1.3063E+14,Block 2032,G5040,U,3817,U,S,17461,0,33.6076874,-84.4580321
1579 Olympian Circle Southwest,Atlanta,GA,30310,"$1,350 ",NA,5,Single-Family Home,"1,600",,3,3,2,2,12,NA,51,NA,9,NA,1,1,1,2,0,0,70,27,0,0,22,2,1,6,15,1,16,5,33.735311,-84.439481,4,11301,3.14,10.1,34.4,1.24,54,2.6,1500,0.73,0.012,1.5,0.077,0.014,80,97,63,1,19,7,14,https://www.trulia.com/c/ca/atlanta/1579-olympian-cir-sw-atlanta-ga-30310--1071294856,4037083496,13,121,6000,3003,1.3121E+14,Block 3003,G5040,U,3817,U,S,19749,0,33.7357718,-84.4395704
707 Vicksburg Place,Atlanta,GA,30350,"$1,450 ",1982,61,Multi-Family,"1,380",,3,3,2,2,1,NA,3,NA,1,NA,1,6,1,5,1,7,95,5,0,0,41,3,5,4,27,4,38,14,33.989668,-84.337265,4,11032,3.14,9.99,36,1.28,55,2.3,2800,0.043,0.012,0.13,0.086,0.00068,52,62,41,7,9,8,6,https://www.trulia.com/c/ca/atlanta/707-vicksburg-pl-atlanta-ga-30350--1002646774,4046144955,13,121,10106,1005,1.3121E+14,Block 1005,G5040,U,3817,U,S,16228,0,33.988758,-84.3371738
3061 Highbury Trail Southwest,Atlanta,GA,30354,"$1,250 ",NA,47,Single-Family Home,"1,300",,3,3,2,2,3,NA,39,NA,26,NA,1,2,1,2,1,2,85,12,0,0,13,4,2,1,14,0,2,5,33.671303,-84.391872,4,11372,3.14,9.97,34.3,1.45,55,3.8,2100,0.3,0.011,2.5,0.16,0,82,92,71,4,21,9,7,https://www.trulia.com/c/ca/atlanta/3061-highbury-trl-sw-atlanta-ga-30354--1072575735,4046878875,13,121,7300,2000,1.3121E+14,Block 2000,G5040,U,3817,U,S,397693,0,33.6708396,-84.3885488
6010 Mallory Road,Atlanta,GA,30349,"$1,125 ",1971,65,Single-Family Home,"1,484",,3,3,2,2,104,NA,301,103,NA,NA,1,3,1,2,1,2,88,11,0,0,4,0,0,0,1,0,5,0,33.591521,-84.524726,4,7018,3.14,9.79,34.1,1.13,51,2.8,350,0.044,0.012,2.4,0.058,0,74,95,53,0,4,12,5,https://www.trulia.com/c/ca/atlanta/6010-mallory-rd-atlanta-ga-30349--1073927169,4045167296,13,121,10511,3008,1.3121E+14,Block 3008,G5040,U,3817,U,S,131615,0,33.5916223,-84.5232521
3521 Rockhaven Circle Northeast,Atlanta,GA,30324,"$2,300 ",NA,42,Single-Family Home,"1,574",,3,3,2,2,49,185,586,NA,NA,NA,1,7,1,6,1,7,93,5,0,2,100,4,19,24,331,10,82,31,33.847439,-84.352032,4,19107,3.14,10.2,35.1,1.63,59,2.7,1500,0.12,0.011,0.26,0.12,9.80E-05,27,32,22,4,5,5,14,https://www.trulia.com/c/ca/atlanta/3521-rockhaven-cir-ne-atlanta-ga-30324--2092143320,3247237768,13,121,9404,2008,1.3121E+14,Block 2008,G5040,U,3817,U,S,52759,0,33.846452,-84.3516958
1214 Bolton Road Northwest,Atlanta,GA,30331,"$1,249 ",1940,55,Single-Family Home,"1,451",,3,3,2,2,0,0,0,0,0,0,1,3,1,1,1,2,85,14,0,0,8,0,2,1,7,0,2,2,33.788959,-84.49378,4,3371,3.14,10.1,34.6,2.09,66,5.1,2300,0.2,0.013,2.1,0.05,0.012,77,95,59,0,14,10,19,https://www.trulia.com/c/ca/atlanta/1214-bolton-rd-nw-atlanta-ga-30331--1014176768,4002180080,13,121,8602,2009,1.3121E+14,Block 2009,G5040,U,3817,U,S,65190,0,33.7900309,-84.4944492
1450 Graham Street Southwest,Atlanta,GA,30310,"$1,495 ",NA,6,Single-Family Home,"1,973",,3,3,2,2,5,NA,26,NA,NA,NA,1,2,1,2,1,7,70,27,0,0,19,2,3,2,12,3,6,11,33.715306,-84.416041,4,10542,3.14,10.1,34.4,1.6,56,3,820,0.67,0.012,3.2,0.098,0.035,75,89,60,1,24,8,9,https://www.trulia.com/c/ca/atlanta/1450-graham-st-sw-atlanta-ga-30310--2092051487,4011478598,13,121,6500,4012,1.3121E+14,Block 4012,G5040,U,3817,U,S,19872,0,33.7152861,-84.4155947
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.723242,-84.400857,4,13444,3.14,10.1,34.4,2.1,58,3.2,3700,0.38,0.011,2.5,0.1,1.80E-05,82,92,71,0,25,9,9,https://www.trulia.com/c/ca/atlanta/1159-smith-st-sw-atlanta-ga-30310--1070706474,NA,13,121,6300,1028,1.3121E+14,Block 1028,G5040,U,3817,U,S,17255,0,33.7231625,-84.4012464
299 Grant Park Place Southeast,Atlanta,GA,30315,"$3,500 ",NA,5,Single-Family Home,"2,737",,3,3,2,2,114,NA,548,NA,142,NA,1,3,1,3,1,4,76,19,0,0,40,3,12,6,28,16,34,24,33.732605,-84.377974,4,13949,3.14,10.1,34.5,2.04,58,3.1,5200,0.4,0.011,2.1,0.11,0.00032,56,64,47,0,12,9,7,https://www.trulia.com/c/ca/atlanta/299-grant-park-pl-se-atlanta-ga-30315--1006696442,4041277090,13,121,5300,2021,1.3121E+14,Block 2021,G5040,U,3817,U,S,22188,0,33.732057,-84.3775408
368 Irwin Street Northeast,Atlanta,GA,30312,"$1,825 ",NA,6,NA,NA,,3,3,2,2,2,NA,70,NA,4,NA,1,3,1,8,1,6,85,8,1,3,395,10,124,57,253,66,171,84,33.75772,-84.37549,4,27122,3.14,10.1,34.6,2.92,68,3.7,11000,0.25,0.011,1.3,0.087,6.60E-05,50,57,41,1,7,4,7,https://www.trulia.com/c/ca/atlanta/368-irwin-st-ne-atlanta-ga-30312--1049673333,4011849622,13,121,2800,1012,1.3121E+14,Block 1012,G5040,U,3817,U,S,87249,0,33.7588654,-84.3761136
23 Alden Avenue NW,Atlanta,GA,30309,"$4,000 ",1937,521,Single-Family Home,"1,612",,3,3,2,2,0,0,0,0,0,0,1,7,1,6,1,7,88,5,0,6,120,4,44,22,151,48,120,42,33.798541,-84.395311,4,16006,3.14,10.2,34.7,2.42,63,3.2,7500,0.24,0.012,0.86,0.067,0.00059,34,39,29,3,3,4,4,https://www.trulia.com/c/ca/atlanta/23-alden-ave-nw-atlanta-ga-30309--2092044301,4004244841,13,121,9101,4005,1.3121E+14,Block 4005,G5040,U,3817,U,S,35398,0,33.7994166,-84.3949696
786 Francis Place Northwest,Atlanta,GA,30318,"$1,050 ",2003,6,Single-Family Home,"1,323",,3,3,2,2,17,NA,72,NA,20,NA,1,1,1,1,1,2,79,17,0,0,11,2,3,1,10,0,11,4,33.776604,-84.437927,4,7767,3.14,10.2,34.6,1.57,55,2.7,130,0.43,0.012,0.92,0.063,0.001,66,90,56,0,28,6,13,https://www.trulia.com/c/ca/atlanta/786-francis-pl-nw-atlanta-ga-30318--2092122512,4048602735,13,121,8700,4019,1.3121E+14,Block 4019,G5040,U,3817,U,S,23119,0,33.7761417,-84.4390959
2423 Melinda Drive Northeast,Atlanta,GA,30345,"$1,850 ",NA,4,Single-Family Home,"2,106",,3,3,2,2,31,6,122,NA,NA,NA,1,4,1,6,1,7,94,4,0,0,12,2,1,2,4,1,10,10,33.85536,-84.289702,4,14818,3.14,10.1,35.3,1.62,56,2.6,3700,0.14,0.011,0.5,0.22,0,55,60,49,17,23,12,7,https://www.trulia.com/c/ca/atlanta/2423-melinda-dr-ne-atlanta-ga-30345--2092194813,4046269340,13,89,21605,1007,1.3089E+14,Block 1007,G5040,U,3817,U,S,116263,0,33.854817,-84.2861018
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.727503,-84.366808,4,12291,3.14,10,34.5,1.61,56,2.9,1300,0.49,0.011,2,0.12,0.00072,46,53,38,1,12,9,6,https://www.trulia.com/c/ca/atlanta/655-mead-st-se-82-atlanta-ga-30312--2092071842,NA,13,121,5300,1021,1.3121E+14,Block 1021,G5040,U,3817,U,S,25152,0,33.7270825,-84.3672823
120 Alden Avenue NW,Atlanta,GA,30309,"$2,200 ",1960,155,Multi-Family,NA,,3,3,2,2,0,0,0,0,0,0,1,7,1,6,1,7,88,5,0,6,126,5,35,17,153,46,139,46,33.801202,-84.397141,4,16577,3.14,10.2,34.7,2.36,62,3.2,7100,0.23,0.012,0.93,0.067,0.00065,33,38,28,3,3,4,5,https://www.trulia.com/c/ca/atlanta/120-alden-ave-nw-atlanta-ga-30309--1050561725,4019237900,13,121,9101,2008,1.3121E+14,Block 2008,G5040,U,3817,U,S,65418,0,33.801164,-84.3980851
491 Dargan Place Southwest,Atlanta,GA,30310,"$1,250 ",1920,6,Single-Family Home,"1,678",,3,3,2,2,23,NA,135,NA,19,NA,1,3,1,2,0,0,70,27,0,0,60,4,5,13,51,5,42,11,33.741595,-84.425303,4,16059,3.14,10.1,34.5,1.66,58,2.9,2600,0.59,0.012,1.4,0.079,0,75,92,64,1,19,5,10,https://www.trulia.com/c/ca/atlanta/491-dargan-pl-sw-atlanta-ga-30310--1012397666,4048574297,13,121,4100,2009,1.3121E+14,Block 2009,G5040,U,3817,U,S,31238,0,33.7415256,-84.4243351
2751 Flagstone Drive Southeast,Atlanta,GA,30316,"$1,325 ",NA,6,Single-Family Home,"1,419",,3,3,2,2,103,5,393,NA,NA,NA,0,0,1,2,1,3,92,7,0,0,7,1,4,0,10,1,7,2,33.708878,-84.317058,4,9320,3.14,9.95,34.5,1.39,54,2.9,920,0.27,0.011,1,0.2,3.90E-05,70,85,54,1,17,7,12,https://www.trulia.com/c/ca/atlanta/2751-flagstone-dr-se-atlanta-ga-30316--1002193632,4048613714,13,89,23803,3000,1.3089E+14,Block 3000,G5040,U,3817,U,S,157402,0,33.7085489,-84.3182119
430 Lynnhaven Drive Southwest,Atlanta,GA,30310,"$1,350 ",1940,54,Single-Family Home,"1,308",,3,3,2,2,0,0,0,0,0,0,1,2,1,2,1,7,70,27,0,0,24,3,4,4,11,4,5,15,33.715757,-84.401851,4,11392,3.14,10.1,34.4,1.82,56,3.1,2300,0.44,0.011,2.4,0.11,6.60E-06,79,92,67,0,26,8,11,https://www.trulia.com/c/ca/atlanta/430-lynnhaven-dr-sw-atlanta-ga-30310--1050963124,4009802870,13,121,6500,1013,1.3121E+14,Block 1013,G5040,U,3817,U,S,29477,0,33.715242,-84.4012926
4068 Danforth Road Southwest #MAIN,Atlanta,GA,30331,"$1,300 ",NA,6,Multi-Family,"1,500",,3,3,2,2,79,NA,701,NA,104,NA,1,5,1,4,1,5,85,14,0,0,18,2,2,3,13,0,19,4,33.725785,-84.521244,4,4278,3.14,9.98,34.4,0.998,51,2.3,200,0.042,0.013,1.5,0.051,0.91,68,99,37,0,9,6,10,https://www.trulia.com/c/ca/atlanta/4068-danforth-rd-sw-main-atlanta-ga-30331--1073161616,4009537308,13,121,7802,1004,1.3121E+14,Block 1004,G5040,U,3817,U,S,285902,0,33.7241274,-84.5192588
207 Fletcher Street Southwest,Atlanta,GA,30315,"$1,090 ",2006,4,Single-Family Home,"1,700",,3,3,2,2,17,NA,67,NA,29,NA,1,2,1,2,1,7,76,19,0,0,27,2,8,3,19,13,16,27,33.725661,-84.39484,4,13594,3.14,10.1,34.5,2.12,58,3.2,4000,0.32,0.011,2.4,0.11,4.40E-05,82,91,74,0,23,9,9,https://www.trulia.com/c/ca/atlanta/207-fletcher-st-sw-atlanta-ga-30315--1001836377,4009872846,13,121,6300,1001,1.3121E+14,Block 1001,G5040,U,3817,U,S,9950,0,33.7259923,-84.3951198
2868 Burden Street Northwest,Atlanta,GA,30318,"$1,890 ",1900,157,Single-Family Home,"1,600",,3,3,2,2,0,0,0,0,0,0,1,4,1,6,1,7,79,17,0,0,4,0,0,1,6,0,7,4,33.810139,-84.481273,4,4014,3.14,10.2,34.7,1.65,56,2.9,620,0.28,0.013,4.5,0.05,0.033,57,72,42,0,11,8,11,https://www.trulia.com/c/ca/atlanta/2868-burden-st-nw-atlanta-ga-30318--1072429661,3199555011,13,121,8800,2021,1.3121E+14,Block 2021,G5040,U,3817,U,S,387099,0,33.8125265,-84.4832663
87 Atlanta Avenue SE,Atlanta,GA,30315,"$1,795 ",1935,17,Single-Family Home,"1,500",,3,3,2,2,10,NA,17,NA,4,NA,1,3,1,3,1,4,76,19,0,0,27,3,8,4,16,12,9,27,33.730355,-84.38508,4,12344,3.14,10.1,34.5,2.16,58,3.2,5100,0.33,0.011,2.1,0.11,0.00013,68,78,59,0,17,9,7,https://www.trulia.com/c/ca/atlanta/87-atlanta-ave-se-atlanta-ga-30315--2092090807,4015786939,13,121,5501,2002,1.3121E+14,Block 2002,G5040,U,3817,U,S,18093,0,33.729901,-84.3853068
2505 Lakewood Avenue SW #SW,Atlanta,GA,30315,"$1,020 ",NA,8,Multi-Family,"1,620",,3,3,2,2,0,0,0,0,0,0,1,2,1,2,1,7,76,19,0,0,21,4,4,4,19,1,8,9,33.697165,-84.400903,4,7868,3.14,10,34.3,1.71,56,3.3,4100,0.33,0.011,2.5,0.13,0.083,84,95,74,1,21,7,11,https://www.trulia.com/c/ca/atlanta/2505-lakewood-ave-sw-sw-atlanta-ga-30315--1072202079,4048528862,13,121,7001,1007,1.3121E+14,Block 1007,G5040,U,3817,U,S,520371,0,33.6926828,-84.3978546
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.596896,-84.41541,4,11825,3.14,9.86,34.1,1.21,58,5,490,0.044,0.011,1,0.13,0,80,97,63,4,14,9,4,https://www.trulia.com/c/ca/atlanta/750-boston-cmn-atlanta-ga-30349--2030542680,NA,13,63,40520,3004,1.3063E+14,Block 3004,G5040,U,3817,U,S,293593,0,33.59808,-84.4143235
37 Lakeland Drive Northwest,Atlanta,GA,30305,"$3,995 ",NA,16,Single-Family Home,"1,640",,3,3,2,2,0,0,0,0,0,0,1,9,1,6,1,7,97,2,0,0,175,5,59,32,459,23,259,71,33.848966,-84.383841,4,9753,3.14,10.2,35.1,1.66,59,2.7,1100,0.2,0.012,0.27,0.094,4.00E-04,18,22,14,4,2,4,11,https://www.trulia.com/c/ca/atlanta/37-lakeland-dr-nw-atlanta-ga-30305--2092015849,4048214928,13,121,9502,1004,1.3121E+14,Block 1004,G5040,U,3817,U,S,40111,0,33.8493998,-84.3849072
5095 Roswell Road,Atlanta,GA,30342,"$1,400 ",1965,12,Multi-Family,"1,162",,3,3,2,2,1,NA,101,NA,15,NA,1,5,1,5,1,7,89,7,0,0,30,3,11,4,48,8,81,21,33.894181,-84.381238,4,12358,3.14,10.2,35.4,1.44,56,2.5,870,0.14,0.012,0.12,0.11,0.00067,35,36,35,6,9,7,11,https://www.trulia.com/c/ca/atlanta/5095-roswell-rd-atlanta-ga-30342--1001855333,4046311415,13,121,10114,1000,1.3121E+14,Block 1000,G5040,U,3817,U,S,1067550,0,33.8980601,-84.3745272
48 Weyman Avenue SW,Atlanta,GA,30315,"$1,425 ",NA,51,Single-Family Home,"1,620",,3,3,2,2,10,NA,17,NA,4,NA,1,3,1,3,1,4,76,19,0,0,29,2,7,4,11,9,8,26,33.724978,-84.389553,4,13305,3.14,10.1,34.5,2.04,57,3.1,3600,0.33,0.011,2.3,0.11,8.10E-05,78,87,68,0,21,9,9,https://www.trulia.com/c/ca/atlanta/48-weyman-ave-sw-atlanta-ga-30315--1073494155,4009296680,13,121,12000,2018,1.3121E+14,Block 2018,G5040,U,3817,U,S,40684,0,33.7239886,-84.3889369
345 Winding River Drive #C,Atlanta,GA,30350,"$1,400 ",NA,8,Multi-Family,"1,568",,3,3,2,2,1,NA,3,NA,1,NA,1,6,1,5,1,7,95,5,0,0,34,3,5,6,28,4,28,23,33.999479,-84.347937,4,11739,3.14,9.98,36,1.24,54,2.2,2000,0.054,0.012,0.13,0.079,0.0011,49,60,39,6,9,8,7,https://www.trulia.com/c/ca/atlanta/345-winding-river-dr-c-atlanta-ga-30350--2030546698,4048517080,13,121,10119,3002,1.3121E+14,Block 3002,G5040,U,3817,U,S,59342,0,33.9982072,-84.3468956
960 Beecher Court Southwest,Atlanta,GA,30311,"$1,300 ",NA,13,Single-Family Home,NA,,3,3,2,2,2,NA,19,NA,19,NA,1,6,1,2,1,2,79,19,0,0,20,1,0,3,12,0,12,4,33.7325,-84.448754,4,8236,3.14,10.1,34.4,1.06,52,2.5,160,0.67,0.012,1.5,0.075,0.14,76,97,56,0,16,6,18,https://www.trulia.com/c/ca/atlanta/960-beecher-ct-sw-atlanta-ga-30311--1012738869,4025252743,13,121,8101,1017,1.3121E+14,Block 1017,G5040,U,3817,U,S,112086,0,33.7316178,-84.4500478
2582 Westchester Drive,Atlanta,GA,30344,"$1,025 ",NA,14,Single-Family Home,"1,150",,3,3,2,2,39,10,880,NA,NA,NA,1,3,1,1,1,2,85,13,0,0,8,3,1,0,13,0,12,6,33.684904,-84.467611,4,7505,3.14,9.98,34.2,0.948,50,2.6,210,0.51,0.012,2.2,0.075,19,73,91,57,1,15,4,15,https://www.trulia.com/c/ca/atlanta/2582-westchester-dr-atlanta-ga-30344--1072252563,4022138507,13,121,11301,4000,1.3121E+14,Block 4000,G5040,U,3817,U,S,128974,0,33.6811117,-84.4674182
278 Patterson Avenue SE,Atlanta,GA,30316,"$1,613 ",NA,7,Single-Family Home,"1,194",,3,3,2,2,4,NA,154,NA,12,NA,0,0,1,3,1,4,92,7,0,0,75,2,23,15,68,10,62,33,33.745923,-84.343158,4,14503,3.14,10.1,34.6,1.74,58,3,2400,0.48,0.011,1.7,0.11,0.00037,44,53,35,1,12,7,10,https://www.trulia.com/c/ca/atlanta/278-patterson-ave-se-atlanta-ga-30316--1072377422,4048540870,13,89,20900,1005,1.3089E+14,Block 1005,G5040,U,3817,U,S,95812,0,33.7464763,-84.3439247
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.911,-84.334361,4,7953,3.14,10.1,35.6,1.29,54,2.3,2100,0.052,0.011,0.24,0.22,0.0032,20,25,14,2,3,6,14,https://www.trulia.com/c/ca/atlanta/1323-rustic-ridge-dr-ne-atlanta-ga-30319--2092127019,NA,13,89,21202,3006,1.3089E+14,Block 3006,G5040,U,3817,U,S,66961,0,33.9103275,-84.3349253
841 White Street Southwest,Atlanta,GA,30310,"$1,440 ",1920,12,Single-Family Home,"1,800",,3,3,2,2,23,NA,135,NA,19,NA,1,3,1,2,0,0,70,27,0,0,50,2,8,7,58,10,44,18,33.73225,-84.415334,4,15513,3.14,10.1,34.5,1.99,60,3.2,3400,0.38,0.012,2.3,0.089,1.70E-09,77,92,70,1,24,8,9,https://www.trulia.com/c/ca/atlanta/841-white-st-sw-atlanta-ga-30310--1074554634,4011597920,13,121,6200,1005,1.3121E+14,Block 1005,G5040,U,3817,U,S,47170,0,33.7316093,-84.4159799
3263 Washington Road #1,Atlanta,GA,30344,$959 ,NA,13,NA,"1,623",,3,3,2,2,39,10,881,NA,NA,NA,1,3,1,1,1,2,85,13,0,0,9,2,0,0,6,1,15,9,33.666853,-84.465562,4,11165,3.14,9.96,34.2,0.969,51,2.9,96,0.4,0.012,2,0.079,12,74,88,60,2,21,9,9,https://www.trulia.com/c/ca/atlanta/3263-washington-rd-1-atlanta-ga-30344--2315643845,4008159556,13,121,11303,5000,1.3121E+14,Block 5000,G5040,U,3817,U,S,410908,0,33.6685858,-84.46806
3263 Washington Road #3,Atlanta,GA,30344,$959 ,NA,19,NA,"1,623",,3,3,2,2,39,10,881,NA,NA,NA,1,3,1,1,1,2,85,13,0,0,9,2,0,0,6,1,15,9,33.666853,-84.465562,4,11165,3.14,9.96,34.2,0.969,51,2.9,96,0.4,0.012,2,0.079,12,74,88,60,2,21,9,9,https://www.trulia.com/c/ca/atlanta/3263-washington-rd-3-atlanta-ga-30344--2315642744,4008183552,13,121,11303,5000,1.3121E+14,Block 5000,G5040,U,3817,U,S,410908,0,33.6685858,-84.46806
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.600668,-84.437613,4,9997,3.14,9.86,34.1,1.22,59,5.3,470,0.084,0.011,0.87,0.1,0,73,95,50,2,15,9,5,https://www.trulia.com/c/ca/atlanta/1470-isleworth-cir-atlanta-ga-30349--1071174723,NA,13,63,40204,1001,1.3063E+14,Block 1001,G5040,U,3817,U,S,632671,16573,33.5990487,-84.4354376
1014 Saint Charles Avenue NE,Atlanta,GA,30306,"$3,300 ",1910,8,Single-Family Home,"1,800",,3,3,2,2,2,NA,54,NA,9,NA,1,9,1,8,1,6,92,3,1,2,156,5,77,23,189,44,106,53,33.775483,-84.354517,4,20544,3.14,10.1,34.7,1.76,60,2.9,700,0.57,0.011,1,0.079,4.20E-06,23,25,21,1,3,5,6,https://www.trulia.com/c/ca/atlanta/1014-saint-charles-ave-ne-atlanta-ga-30306--1019270677,3011971106,13,121,1500,4001,1.3121E+14,Block 4001,G5040,U,3817,U,S,40444,0,33.7760569,-84.3540298
4615 Sahara Drive Southwest,Atlanta,GA,30331,"$1,325 ",1969,19,Single-Family Home,"1,267",,3,3,2,2,1,NA,6,NA,1,NA,1,3,1,2,0,0,85,14,0,0,6,0,0,0,2,0,1,2,33.685796,-84.539182,4,4204,3.14,9.92,34.3,0.835,49,2.1,74,0.068,0.013,0.64,0.05,0.0076,69,99,38,0,11,7,16,https://www.trulia.com/c/ca/atlanta/4615-sahara-dr-sw-atlanta-ga-30331--1039351382,3151614244,13,121,10303,1034,1.3121E+14,Block 1034,G5040,U,3817,U,S,33133,0,33.6863111,-84.5380358
491 Dargan Place Southwest,Atlanta,GA,30310,"$1,250 ",1920,6,Single-Family Home,"1,678",,3,3,2,2,23,NA,135,NA,19,NA,1,3,1,2,0,0,70,27,0,0,60,4,5,13,51,5,42,11,33.741595,-84.425303,4,16059,3.14,10.1,34.5,1.66,58,2.9,2600,0.59,0.012,1.4,0.079,0,75,92,64,1,19,5,10,https://www.trulia.com/c/ca/atlanta/491-dargan-pl-sw-atlanta-ga-30310--1012397666,4048574297,13,121,4100,2009,1.3121E+14,Block 2009,G5040,U,3817,U,S,31238,0,33.7415256,-84.4243351
1628 Eastland Road Southeast,Atlanta,GA,30316,"$1,300 ",1975,12,Single-Family Home,"1,200",,3,3,2,2,103,5,393,NA,NA,NA,1,2,1,2,1,3,92,7,0,0,20,3,3,0,23,1,10,1,33.718669,-84.332313,4,9057,3.14,9.99,34.5,1.43,55,2.9,1400,0.29,0.011,1.1,0.16,6.10E-05,62,78,45,2,14,9,12,https://www.trulia.com/c/ca/atlanta/1628-eastland-rd-se-atlanta-ga-30316--1002065625,4016805566,13,89,23801,3010,1.3089E+14,Block 3010,G5040,U,3817,U,S,80494,0,33.7195908,-84.333007
3528 Regalwoods Drive,Atlanta,GA,30340,"$1,950 ",1960,21,Single-Family Home,NA,,3,3,2,2,31,11,69,NA,NA,NA,1,5,1,6,1,7,92,7,0,1,39,5,7,4,60,4,18,12,33.892237,-84.247712,4,11799,3.14,10,35.7,1.61,56,2.6,4500,0.041,0.01,2.6,0.29,7.70E-05,65,73,56,15,21,9,7,https://www.trulia.com/c/ca/atlanta/3528-regalwoods-dr-atlanta-ga-30340--1005382788,4048008695,13,89,21812,2005,1.3089E+14,Block 2005,G5040,U,3817,U,S,75375,0,33.8918611,-84.2491915
