Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
40 Peachtree Valley Road Northeast,Atlanta,GA,30309.0,"$1,093 - $3,078",,43.0,Apartment,"643-1,563",,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,1.0,7.0,88.0,5.0,0.0,6.0,59.0,3.0,13.0,5.0,114.0,7.0,88.0,37.0,33.810478,-84.390153,4,14159,3.14,10.2,34.8,2.12,61,3.0,4500.0,0.27,0.012,0.87,0.07200000000000001,0.00011999999999999999,23,26,19,2,3,5,11,https://www.trulia.com/c/ca/atlanta/allure-at-brookwood-40-peachtree-valley-rd-ne-atlanta-ga-30309--2092045434,4011311453.0,13.0,121.0,9102.0,3000.0,131210000000000.0,Block 3000,G5040,U,3817.0,U,S,452429.0,0.0,33.807868799999994,-84.3882565
95 Peyton Road Southwest,Atlanta,GA,30311.0,$655 - $847,,432.0,Apartment,"800-1,400",,1.0,1.0,1.0,1.0,4.0,,20.0,,4.0,,1.0,3.0,1.0,2.0,1.0,2.0,79.0,19.0,0.0,0.0,14.0,1.0,1.0,2.0,12.0,0.0,8.0,3.0,33.749231,-84.469658,4,6907,3.14,10.1,34.5,1.4,54,2.7,2000.0,0.31,0.013000000000000001,1.3,0.06,0.063,86,100,72,3,20,3,18,https://www.trulia.com/c/ca/atlanta/dogwood-apartments-95-peyton-rd-sw-atlanta-ga-30311--2092066632,3219697909.0,13.0,121.0,8102.0,4005.0,131210000000000.0,Block 4005,G5040,U,3817.0,U,S,346598.0,0.0,33.7513278,-84.472525
1260 Fairview Road Northeast,Atlanta,GA,30306.0,"$3,390 ",,3.0,Single-Family Home,"2,100",,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,1.0,6.0,92.0,3.0,1.0,2.0,118.0,6.0,61.0,19.0,149.0,37.0,96.0,51.0,33.772290999999996,-84.346053,4,17108,3.14,10.1,34.7,1.67,59,2.8,700.0,0.59,0.011000000000000001,1.3,0.08199999999999999,1.2e-05,19,21,18,1,3,4,6,https://www.trulia.com/c/ca/atlanta/1260-fairview-rd-ne-atlanta-ga-30306--1051034315,4048683600.0,13.0,89.0,20200.0,2011.0,130890000000000.0,Block 2011,G5040,U,3817.0,U,S,70254.0,0.0,33.7730521,-84.34652159999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.80409,-84.417209,4,10184,3.14,10.2,34.7,2.07,58,2.9,5600.0,0.21,0.012,2.2,0.063,0.0034,31,38,24,3,3,7,5,https://www.trulia.com/c/ca/atlanta/1797-springer-st-nw-atlanta-ga-30318--2092113097,,13.0,121.0,8902.0,4013.0,131210000000000.0,Block 4013,G5040,U,3817.0,U,S,31595.0,0.0,33.8027686,-84.41667209999999
1260 Fairview Road Northeast #1,Atlanta,GA,30306.0,"$3,390 ",1915.0,3.0,Multi-Family,"2,100",,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,1.0,6.0,92.0,3.0,1.0,2.0,118.0,6.0,61.0,19.0,149.0,37.0,96.0,51.0,33.772290999999996,-84.346053,4,17108,3.14,10.1,34.7,1.67,59,2.8,700.0,0.59,0.011000000000000001,1.3,0.08199999999999999,1.2e-05,19,21,18,1,3,4,6,https://www.trulia.com/c/ca/atlanta/1260-fairview-rd-ne-1-atlanta-ga-30306--2176620551,4048681864.0,13.0,89.0,20200.0,2011.0,130890000000000.0,Block 2011,G5040,U,3817.0,U,S,70254.0,0.0,33.7730521,-84.34652159999999
4883 Roswell Road,Atlanta,GA,30342.0,"$1,059 - $1,799",,370.0,Apartment,"750-1,250",,1.0,1.0,1.0,1.0,1.0,,101.0,,15.0,,1.0,5.0,1.0,5.0,1.0,7.0,89.0,7.0,0.0,0.0,39.0,3.0,11.0,5.0,59.0,7.0,103.0,22.0,33.887904999999996,-84.381539,4,11617,3.14,10.2,35.3,1.34,55,2.4,600.0,0.18,0.012,0.12,0.11,0.0009400000000000001,34,36,33,5,10,7,11,https://www.trulia.com/c/ca/atlanta/one-sovereign-place-4883-roswell-rd-atlanta-ga-30342--2030506481,9000027651.0,13.0,121.0,10114.0,3007.0,131210000000000.0,Block 3007,G5040,U,3817.0,U,S,16052.0,0.0,33.887056799999996,-84.381211
4463 Briarcliff Road,Atlanta,GA,30345.0,"$1,700 ",1955.0,19.0,Single-Family Home,"1,309",,3.0,3.0,2.0,2.0,31.0,6.0,122.0,,,,1.0,5.0,1.0,6.0,1.0,7.0,94.0,4.0,0.0,0.0,44.0,2.0,2.0,3.0,85.0,2.0,43.0,10.0,33.855471,-84.266615,4,6813,3.14,10.1,35.4,1.24,55,2.4,1400.0,0.077,0.011000000000000001,1.4,0.2,0.0,24,34,14,5,3,7,18,https://www.trulia.com/c/ca/atlanta/4463-briarcliff-rd-atlanta-ga-30345--2353160990,4048085821.0,13.0,89.0,21703.0,1000.0,130890000000000.0,Block 1000,G5040,U,3817.0,U,S,152985.0,0.0,33.8540226,-84.2650071
1783 Johnson Road Northwest,Atlanta,GA,30318.0,"$999 - $1,099",,565.0,Apartment,"750-1,200",,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,79.0,17.0,0.0,0.0,7.0,1.0,2.0,0.0,14.0,0.0,11.0,4.0,33.785426,-84.445797,4,3905,3.14,10.1,34.6,1.5,55,2.9,130.0,0.27,0.012,1.8,0.055999999999999994,0.0021,78,93,62,0,14,11,22,https://www.trulia.com/c/ca/atlanta/columbia-grove-1783-johnson-rd-nw-atlanta-ga-30318--2000010407,4014979014.0,13.0,121.0,8700.0,4011.0,131210000000000.0,Block 4011,G5040,U,3817.0,U,S,28606.0,0.0,33.7860032,-84.44562140000001
1000 Park Avenue NE,Atlanta,GA,30326.0,,,97.0,Apartment,"774-1,685",,1.0,1.0,1.0,1.0,1.0,,133.0,,14.0,,1.0,7.0,1.0,6.0,1.0,7.0,86.0,10.0,0.0,5.0,135.0,3.0,25.0,31.0,372.0,17.0,131.0,45.0,33.862934,-84.336618,4,14893,3.14,10.1,35.3,1.34,56,2.4,580.0,0.15,0.011000000000000001,0.18,0.16,0.00011999999999999999,20,24,15,4,4,7,11,https://www.trulia.com/c/ca/atlanta/the-huntley-1000-park-ave-ne-atlanta-ga-30326--2346138816,9001391701.0,13.0,89.0,21411.0,1002.0,130890000000000.0,Block 1002,G5040,U,3817.0,U,S,270920.0,0.0,33.867887599999996,-84.3333698
205 12th Street Northeast,Atlanta,GA,30309.0,"$2,080 - $9,185",,235.0,Apartment,"735-2,546",,1.0,1.0,1.0,1.0,15.0,,400.0,,27.0,,1.0,9.0,1.0,8.0,1.0,6.0,88.0,5.0,0.0,6.0,259.0,9.0,102.0,45.0,141.0,73.0,156.0,78.0,33.784256,-84.380531,4,28307,3.14,10.2,34.7,3.08,72,3.9,3700.0,0.35,0.012,0.7,0.07200000000000001,7.4e-06,29,34,21,2,3,3,6,https://www.trulia.com/c/ca/atlanta/piedmont-house-205-12th-st-ne-atlanta-ga-30309--1046391411,4036700566.0,13.0,121.0,1100.0,3001.0,131210000000000.0,Block 3001,G5040,U,3817.0,U,S,20103.0,0.0,33.78370820000001,-84.3800818
4685 Chamblee Dunwoody Road,Atlanta,GA,30338.0,"$1,452 - $1,660",1968.0,28.0,Apartment,"1,359-1,783",,2.0,2.0,2.0,2.0,7.0,,3.0,1.0,,,1.0,8.0,1.0,6.0,1.0,7.0,95.0,5.0,0.0,0.0,34.0,4.0,4.0,3.0,28.0,7.0,45.0,17.0,33.928418,-84.314475,4,11773,3.14,10.1,35.7,1.43,55,2.4,1700.0,0.034,0.011000000000000001,0.63,0.23,0.0031,28,38,18,4,5,6,11,https://www.trulia.com/c/ca/atlanta/riva-apartments-4685-chamblee-dunwoody-rd-atlanta-ga-30338--2030483272,9000051222.0,13.0,89.0,21218.0,2004.0,130890000000000.0,Block 2004,G5040,U,3817.0,U,S,202234.0,0.0,33.9261187,-84.31323379999999
47 Spalding Trail,Atlanta,GA,30328.0,"$990 - $2,948",,697.0,Apartment,"933-1,438",,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,1.0,7.0,93.0,3.0,0.0,0.0,10.0,1.0,3.0,0.0,13.0,4.0,13.0,11.0,33.962715,-84.360456,4,15049,3.14,10.0,35.8,1.33,54,2.3,2000.0,0.0097,0.012,0.19,0.098,0.00047999999999999996,44,56,32,5,4,7,8,https://www.trulia.com/c/ca/atlanta/spalding-bridge-47-spalding-trl-atlanta-ga-30328--1001416058,4037540490.0,13.0,121.0,10117.0,2003.0,131210000000000.0,Block 2003,G5040,U,3817.0,U,S,34943.0,0.0,33.962269299999996,-84.3601613
3450 Evans Road,Atlanta,GA,30341.0,"$1,050 - $1,275",,1040.0,Apartment,"1,205-1,568",,2.0,2.0,2.0,2.0,88.0,20.0,541.0,,,,1.0,5.0,1.0,6.0,1.0,7.0,89.0,9.0,0.0,0.0,21.0,3.0,4.0,3.0,19.0,2.0,19.0,7.0,33.873119,-84.246813,4,11465,3.14,10.0,35.6,1.46,55,2.5,3000.0,0.038,0.01,1.8,0.24,0.0,39,47,31,6,7,6,12,https://www.trulia.com/c/ca/atlanta/the-estuary-apartment-homes-3450-evans-rd-atlanta-ga-30341--2030501371,9000074560.0,13.0,89.0,21808.0,1009.0,130890000000000.0,Block 1009,G5040,U,3817.0,U,S,102882.0,0.0,33.87282329999999,-84.2453328
5445 Forest Downs Circle,Atlanta,GA,30349.0,"$1,230 ",,19.0,Single-Family Home,"1,776",,3.0,3.0,2.0,2.0,108.0,,305.0,108.0,,,1.0,4.0,1.0,2.0,1.0,2.0,88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,33.6103,-84.55314399999999,4,2491,3.14,9.76,34.0,0.8370000000000001,48,2.4,53.0,0.084,0.012,1.2,0.047,0.0,69,97,40,2,7,10,6,https://www.trulia.com/c/ca/atlanta/5445-forest-downs-cir-atlanta-ga-30349--1073766691,4048076667.0,13.0,121.0,10513.0,1064.0,131210000000000.0,Block 1064,G5040,U,3817.0,U,S,35557.0,0.0,33.6097709,-84.5523815
465 Memorial Drive Southeast,Atlanta,GA,30312.0,"$1,365 - $2,920",,76.0,Apartment,"589-2,825",,0.0,0.0,1.0,1.0,24.0,,418.0,,37.0,,1.0,3.0,1.0,3.0,1.0,4.0,85.0,8.0,1.0,3.0,173.0,9.0,62.0,30.0,108.0,33.0,127.0,72.0,33.746722999999996,-84.372112,4,19553,3.14,10.1,34.6,2.69,66,3.6,11000.0,0.37,0.011000000000000001,1.7,0.095,0.00018,47,54,39,1,8,4,7,https://www.trulia.com/c/ca/atlanta/lumen-grant-park-465-memorial-dr-se-atlanta-ga-30312--2092069830,4047876836.0,13.0,121.0,5000.0,1011.0,131210000000000.0,Block 1011,G5040,U,3817.0,U,S,14483.0,0.0,33.7461468,-84.3719662
268 Kirkwood Road Northeast,Atlanta,GA,30317.0,"$2,650 ",1950.0,20.0,Single-Family Home,"1,400",Phone not provided,3.0,3.0,2.0,2.0,5.0,,38.0,,17.0,,1.0,4.0,1.0,3.0,1.0,4.0,84.0,13.0,0.0,0.0,38.0,4.0,13.0,8.0,24.0,10.0,18.0,52.0,33.760478000000006,-84.321792,4,14404,3.14,10.1,34.8,1.41,56,2.6,110.0,0.61,0.011000000000000001,1.1,0.094,2e-05,31,36,25,1,8,8,10,https://www.trulia.com/c/ca/atlanta/268-kirkwood-rd-ne-atlanta-ga-30317--1072315273,3161242860.0,13.0,89.0,20700.0,2002.0,130890000000000.0,Block 2002,G5040,U,3817.0,U,S,62539.0,0.0,33.758782000000004,-84.322337
1772 Bouldercrest Road Southeast,Atlanta,GA,30316.0,"$1,350 ",,2.0,Single-Family Home,"1,200",,3.0,3.0,2.0,2.0,103.0,5.0,393.0,,,,0.0,0.0,1.0,2.0,1.0,3.0,92.0,7.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,33.706067,-84.3272,4,6976,3.14,9.96,34.5,1.34,53,2.9,660.0,0.27,0.011000000000000001,1.1,0.2,5.3e-05,68,83,53,2,16,7,12,https://www.trulia.com/c/ca/atlanta/1772-bouldercrest-rd-se-atlanta-ga-30316--1071487402,3230919851.0,13.0,89.0,23801.0,2008.0,130890000000000.0,Block 2008,G5040,U,3817.0,U,S,630435.0,0.0,33.705781200000004,-84.3323919
460 East Lake Boulevard SE,Atlanta,GA,30317.0,"$969 - $1,399",,564.0,Apartment,"926-1,812",,1.0,1.0,1.0,1.0,4.0,,18.0,,4.0,,1.0,4.0,1.0,3.0,1.0,4.0,84.0,13.0,0.0,0.0,17.0,1.0,7.0,3.0,11.0,2.0,6.0,20.0,33.740434,-84.31312199999999,4,10422,3.14,10.0,34.7,1.41,56,2.8,470.0,0.51,0.011000000000000001,0.58,0.12,7.6e-06,56,70,42,1,13,8,13,https://www.trulia.com/c/ca/atlanta/villages-of-east-lake-460-e-lake-blvd-se-atlanta-ga-30317--2030458517,9000018586.0,13.0,89.0,20802.0,2020.0,130890000000000.0,Block 2020,G5040,U,3817.0,U,S,116685.0,0.0,33.741345,-84.3107653
325 Centennial Olympic Park Drive Northwest,Atlanta,GA,30313.0,"$1,370 - $3,585",,57.0,Apartment,"504-1,354",,0.0,0.0,1.0,1.0,59.0,2.0,701.0,,,,1.0,5.0,2.0,6.0,1.0,6.0,69.0,16.0,0.0,14.0,404.0,4.0,124.0,64.0,235.0,73.0,115.0,63.0,33.763393,-84.391951,4,26940,3.14,10.1,34.6,3.3,73,4.1,14000.0,0.2,0.012,0.89,0.079,2e-05,55,61,47,2,9,2,4,https://www.trulia.com/c/ca/atlanta/post-centennial-325-centennial-olympic-park-dr-nw-atlanta-ga-30313--2286304651,9001440568.0,13.0,121.0,2100.0,1024.0,131210000000000.0,Block 1024,G5040,U,3817.0,U,S,11070.0,0.0,33.763679700000004,-84.3912012
1000 Peachtree Park Drive Northeast,Atlanta,GA,30309.0,"$1,125 - $2,760",1969.0,1035.0,Apartment,"755-1,235",,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,1.0,7.0,88.0,5.0,0.0,6.0,60.0,3.0,15.0,5.0,114.0,6.0,89.0,42.0,33.812394,-84.389022,4,14584,3.14,10.2,34.8,2.06,61,3.0,3800.0,0.27,0.012,0.86,0.073,7.2e-05,21,25,18,2,3,4,13,https://www.trulia.com/c/ca/atlanta/peachtree-park-apartments-1000-peachtree-park-dr-ne-atlanta-ga-30309--2092038207,9000011987.0,13.0,121.0,9102.0,2009.0,131210000000000.0,Block 2009,G5040,U,3817.0,U,S,178544.0,0.0,33.8133438,-84.3889483
508 Main Street Northeast,Atlanta,GA,30324.0,"$1,025 - $1,720",,935.0,Apartment,,,0.0,0.0,1.0,1.0,48.0,183.0,586.0,,,,1.0,5.0,1.0,6.0,1.0,7.0,93.0,5.0,0.0,2.0,83.0,5.0,40.0,13.0,265.0,13.0,212.0,71.0,33.822708,-84.370742,4,19115,3.14,10.2,34.9,2.05,60,2.9,5200.0,0.2,0.012,0.76,0.087,1e-06,32,40,25,4,5,5,9,https://www.trulia.com/c/ca/atlanta/uptown-square-apartments-508-main-st-ne-atlanta-ga-30324--2092143636,9000014667.0,13.0,121.0,9402.0,1000.0,131210000000000.0,Block 1000,G5040,U,3817.0,U,S,158926.0,0.0,33.82379470000001,-84.3704757
125 Clifton Street Southeast,Atlanta,GA,30317.0,"$2,250 ",,2.0,Single-Family Home,"1,307",,3.0,3.0,2.0,2.0,5.0,,38.0,,17.0,,1.0,4.0,1.0,3.0,1.0,4.0,84.0,13.0,0.0,0.0,64.0,3.0,21.0,8.0,57.0,10.0,41.0,37.0,33.74992,-84.331854,4,12953,3.14,10.0,34.7,1.58,57,2.9,980.0,0.57,0.011000000000000001,1.4,0.1,0.00011999999999999999,46,54,37,1,13,8,11,https://www.trulia.com/c/ca/atlanta/125-clifton-st-se-atlanta-ga-30317--1013763689,4048710587.0,13.0,89.0,20500.0,2012.0,130890000000000.0,Block 2012,G5040,U,3817.0,U,S,35572.0,0.0,33.7503401,-84.3324883
3935 Admiral Drive,Atlanta,GA,30341.0,"$2,400 ",1964.0,18.0,Single-Family Home,"1,465",,3.0,3.0,2.0,2.0,89.0,20.0,544.0,,,,1.0,4.0,1.0,7.0,1.0,8.0,89.0,9.0,0.0,0.0,44.0,2.0,2.0,7.0,73.0,9.0,17.0,15.0,33.908265,-84.300051,4,10200,3.14,10.1,35.6,1.34,56,2.4,3400.0,0.12,0.011000000000000001,1.4,0.47,0.0088,39,48,30,5,10,7,9,https://www.trulia.com/c/ca/atlanta/3935-admiral-dr-atlanta-ga-30341--2030502751,4044696304.0,13.0,89.0,21208.0,1000.0,130890000000000.0,Block 1000,G5040,U,3817.0,U,S,241071.0,0.0,33.9060408,-84.2980608
1331 Arkwright Place Southeast,Atlanta,GA,30317.0,"$1,800 ",,68.0,Single-Family Home,"2,220",,3.0,3.0,2.0,2.0,4.0,,154.0,,12.0,,0.0,0.0,1.0,3.0,1.0,4.0,84.0,13.0,0.0,0.0,82.0,2.0,31.0,15.0,82.0,16.0,61.0,46.0,33.748977000000004,-84.344117,4,15218,3.14,10.1,34.6,1.75,58,3.0,2000.0,0.49,0.011000000000000001,1.8,0.1,0.0003,42,50,34,1,11,7,10,https://www.trulia.com/c/ca/atlanta/1331-arkwright-pl-se-atlanta-ga-30317--1070998862,4045567207.0,13.0,89.0,20500.0,2031.0,130890000000000.0,Block 2031,G5040,U,3817.0,U,S,36915.0,0.0,33.7483445,-84.3433615
1850 Cotillion Drive #2410,Atlanta,GA,30338.0,"$1,850 ",2004.0,42.0,Multi-Family,"1,438",,3.0,3.0,2.0,2.0,7.0,,3.0,1.0,,,1.0,8.0,1.0,6.0,1.0,7.0,95.0,5.0,0.0,0.0,34.0,4.0,4.0,3.0,30.0,6.0,47.0,16.0,33.920753999999995,-84.312292,4,11932,3.14,10.1,35.7,1.44,56,2.4,2400.0,0.049,0.011000000000000001,0.85,0.29,0.0056,31,42,19,3,6,5,11,https://www.trulia.com/c/ca/atlanta/1850-cotillion-dr-2410-atlanta-ga-30338--2030479999,4047093238.0,13.0,89.0,21218.0,2007.0,130890000000000.0,Block 2007,G5040,U,3817.0,U,S,108599.0,0.0,33.9223161,-84.31267779999999
837 Forrest Circle Southeast,Atlanta,GA,30354.0,"$1,125 ",2008.0,26.0,Single-Family Home,,,3.0,3.0,2.0,2.0,1.0,,24.0,,5.0,,1.0,3.0,1.0,2.0,1.0,2.0,85.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,33.671603999999995,-84.35870899999999,4,2546,3.14,9.96,34.3,1.22,53,3.2,470.0,0.12,0.011000000000000001,1.5,0.26,1.5e-06,79,97,61,0,15,7,11,https://www.trulia.com/c/ca/atlanta/837-forrest-cir-se-atlanta-ga-30354--2092202291,4047783838.0,13.0,121.0,7200.0,1004.0,131210000000000.0,Block 1004,G5040,U,3817.0,U,S,930961.0,0.0,33.6725559,-84.361188
1157 Standard Drive Northeast #1157,Atlanta,GA,30319.0,"$4,200 ",1998.0,5.0,Multi-Family,"4,000",,3.0,3.0,2.0,2.0,80.0,248.0,303.0,,,,1.0,9.0,1.0,7.0,1.0,8.0,90.0,8.0,0.0,1.0,53.0,4.0,11.0,9.0,73.0,4.0,51.0,23.0,33.855494,-84.342404,4,17252,3.14,10.1,35.2,1.5,58,2.6,650.0,0.12,0.011000000000000001,0.21,0.13,8.2e-05,26,30,21,6,6,7,12,https://www.trulia.com/c/ca/atlanta/1157-standard-dr-ne-1157-atlanta-ga-30319--2324742956,3227285526.0,13.0,89.0,21405.0,2006.0,130890000000000.0,Block 2006,G5040,U,3817.0,U,S,12720.0,0.0,33.855354999999996,-84.3415778
2595 Ashford Road Northeast,Atlanta,GA,30319.0,"$3,500 ",1951.0,159.0,Single-Family Home,"2,300",,3.0,3.0,2.0,2.0,80.0,248.0,305.0,,,,1.0,9.0,1.0,7.0,1.0,8.0,90.0,8.0,0.0,1.0,90.0,12.0,21.0,7.0,62.0,9.0,35.0,17.0,33.863454,-84.322888,4,16034,3.14,10.1,35.3,1.41,56,2.5,630.0,0.24,0.011000000000000001,0.17,0.18,3.1e-05,38,45,32,11,13,10,5,https://www.trulia.com/c/ca/atlanta/2595-ashford-rd-ne-atlanta-ga-30319--1072257674,4013911967.0,13.0,89.0,21412.0,3016.0,130890000000000.0,Block 3016,G5040,U,3817.0,U,S,62591.0,0.0,33.8635325,-84.3214858
3753 Admiral Drive,Atlanta,GA,30341.0,"$2,300 ",1964.0,16.0,Single-Family Home,"1,127",,3.0,3.0,2.0,2.0,89.0,20.0,544.0,,,,1.0,4.0,1.0,7.0,1.0,8.0,89.0,9.0,0.0,0.0,65.0,7.0,5.0,9.0,111.0,7.0,35.0,17.0,33.902353999999995,-84.30104200000001,4,11591,3.14,10.1,35.6,1.27,56,2.4,1700.0,0.14,0.011000000000000001,1.1,0.68,0.0059,48,56,39,12,19,7,8,https://www.trulia.com/c/ca/atlanta/3753-admiral-dr-atlanta-ga-30341--2030502279,4017937959.0,13.0,89.0,21208.0,1014.0,130890000000000.0,Block 1014,G5040,U,3817.0,U,S,44584.0,0.0,33.9016176,-84.30056400000001
1287 Oak Grove Avenue SE,Atlanta,GA,30316.0,"$2,350 ",,15.0,Single-Family Home,,,3.0,3.0,2.0,2.0,17.0,,67.0,,25.0,,1.0,6.0,1.0,3.0,1.0,4.0,92.0,7.0,0.0,0.0,72.0,2.0,23.0,15.0,67.0,10.0,61.0,31.0,33.743255,-84.345442,4,13320,3.14,10.0,34.6,1.77,59,3.1,2600.0,0.5,0.011000000000000001,1.7,0.11,0.00049,41,50,33,1,12,7,10,https://www.trulia.com/c/ca/atlanta/1287-oak-grove-ave-se-atlanta-ga-30316--1070919655,4048266861.0,13.0,89.0,20900.0,1030.0,130890000000000.0,Block 1030,G5040,U,3817.0,U,S,28971.0,0.0,33.7427192,-84.3459252
1168 Biltmore Drive Northeast,Atlanta,GA,30329.0,"$1,850 ",1955.0,12.0,Single-Family Home,"1,225",,3.0,3.0,2.0,2.0,66.0,228.0,239.0,,,,1.0,5.0,1.0,6.0,1.0,6.0,88.0,9.0,0.0,2.0,59.0,6.0,9.0,9.0,60.0,7.0,45.0,37.0,33.811510999999996,-84.327991,4,11684,3.14,10.1,35.0,1.51,58,2.7,180.0,0.25,0.011000000000000001,0.43,0.098,0.0,38,40,36,6,4,6,12,https://www.trulia.com/c/ca/atlanta/1168-biltmore-dr-ne-atlanta-ga-30329--1070720862,4048395989.0,13.0,89.0,21504.0,1001.0,130890000000000.0,Block 1001,G5040,U,3817.0,U,S,162432.0,0.0,33.813698200000005,-84.32988420000001
290 Sisson Avenue NE,Atlanta,GA,30317.0,"$1,975 ",1953.0,16.0,Single-Family Home,"1,320",,3.0,3.0,2.0,2.0,5.0,,38.0,,17.0,,1.0,4.0,1.0,3.0,1.0,4.0,84.0,13.0,0.0,0.0,35.0,4.0,14.0,9.0,25.0,8.0,13.0,37.0,33.761549,-84.31479399999999,4,13480,3.14,10.1,34.8,1.36,56,2.6,74.0,0.64,0.011000000000000001,0.7,0.092,3.8e-06,28,33,22,1,8,9,11,https://www.trulia.com/c/ca/atlanta/290-sisson-ave-ne-atlanta-ga-30317--1072446983,4048216315.0,13.0,89.0,20801.0,2003.0,130890000000000.0,Block 2003,G5040,U,3817.0,U,S,39421.0,0.0,33.7627971,-84.3153267
3864 Lake Forrest Drive Northwest,Atlanta,GA,30342.0,"$4,500 ",1950.0,5.0,Single-Family Home,,,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,6.0,1.0,7.0,89.0,7.0,0.0,0.0,43.0,3.0,5.0,11.0,59.0,6.0,36.0,25.0,33.860133000000005,-84.386797,4,7421,3.14,10.2,35.1,1.45,57,2.6,810.0,0.19,0.012,0.2,0.098,0.0012,13,16,10,4,2,5,11,https://www.trulia.com/c/ca/atlanta/3864-lake-forrest-dr-nw-atlanta-ga-30342--1073043105,4010767278.0,13.0,121.0,9900.0,1015.0,131210000000000.0,Block 1015,G5040,U,3817.0,U,S,305704.0,0.0,33.864940600000004,-84.38941690000001
3887 Lake Manor Way,Atlanta,GA,30349.0,"$1,664 ",,5.0,Single-Family Home,"1,778",,3.0,3.0,2.0,2.0,104.0,,301.0,103.0,,,0.0,0.0,1.0,4.0,1.0,5.0,88.0,11.0,0.0,0.0,9.0,1.0,0.0,0.0,8.0,0.0,14.0,0.0,33.650504,-84.527751,4,2417,3.14,9.87,34.2,0.897,48,2.3,330.0,0.03,0.013000000000000001,0.48,0.051,5.6e-06,63,97,29,0,12,6,13,https://www.trulia.com/c/ca/atlanta/3887-lake-manor-way-atlanta-ga-30349--1001725097,4011596035.0,13.0,121.0,10304.0,2003.0,131210000000000.0,Block 2003,G5040,U,3817.0,U,S,1099143.0,0.0,33.6506771,-84.5269572
2627 Woodacres Road Northeast,Atlanta,GA,30345.0,"$1,700 ",,4.0,Single-Family Home,"1,196",,3.0,3.0,2.0,2.0,31.0,6.0,122.0,,,,1.0,2.0,1.0,4.0,1.0,5.0,94.0,4.0,0.0,0.0,73.0,11.0,16.0,6.0,34.0,2.0,19.0,10.0,33.863425,-84.301287,4,15380,3.14,10.1,35.3,1.6,56,2.6,3300.0,0.17,0.011000000000000001,0.35,0.23,2.4e-06,60,66,55,19,27,12,5,https://www.trulia.com/c/ca/atlanta/2627-woodacres-rd-ne-atlanta-ga-30345--1072287104,4048689676.0,13.0,89.0,21410.0,1002.0,130890000000000.0,Block 1002,G5040,U,3817.0,U,S,38625.0,0.0,33.8636477,-84.3007356
2507 Parkdale Place Northeast,Atlanta,GA,30305.0,"$3,000 ",,19.0,Single-Family Home,,,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,6.0,1.0,7.0,97.0,2.0,0.0,0.0,95.0,4.0,41.0,11.0,277.0,11.0,182.0,70.0,33.823369,-84.377299,4,19895,3.14,10.2,34.9,1.95,59,2.8,2800.0,0.22,0.012,0.67,0.084,8.1e-06,27,34,21,3,4,4,14,https://www.trulia.com/c/ca/atlanta/2507-parkdale-pl-ne-atlanta-ga-30305--1072203809,4048157772.0,13.0,121.0,9300.0,1005.0,131210000000000.0,Block 1005,G5040,U,3817.0,U,S,16527.0,0.0,33.8230104,-84.376823
