Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
75 Heatherstone Way,Covington,GA,30016.0,"$1,100 ",,25.0,Single-Family Home,"1,486",,3.0,3.0,2.0,2.0,,,6.0,,169.0,,1.0,5.0,1.0,4.0,1.0,4.0,99.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.42217,-83.857472,4,984,3.14,9.74,36.1,0.478,46,1.7,2.9,0.13,0.013999999999999999,0.085,0.021,0.0039,37,20,53,0,19,11,14,https://www.trulia.com/c/ca/p/ga/covington/75-heatherstone-way-covington-ga-30016--1005927918,4011593848.0,13.0,217.0,100800.0,1035.0,132171000000000.0,Block 1035,G5040,R,,,S,2413783.0,8106.0,33.424818800000004,-83.86066729999999
45 Nicole Court,Covington,GA,30016.0,"$1,145 ",1999.0,25.0,Single-Family Home,,,3.0,3.0,2.0,2.0,,,6.0,,169.0,,1.0,6.0,1.0,4.0,1.0,4.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.527735,-83.990635,4,1725,3.14,9.75,35.8,0.625,48,2.0,2.6,0.026000000000000002,0.011000000000000001,0.076,0.03,0.0018,38,34,42,0,20,9,12,https://www.trulia.com/c/ca/p/ga/covington/45-nicole-ct-covington-ga-30016--1004094077,4047839313.0,13.0,217.0,100901.0,2011.0,132171000000000.0,Block 2011,G5040,U,3817.0,U,S,227228.0,0.0,33.528331800000004,-83.9908113
1700 Pilgrim Road,Cumming,GA,30040.0,"$1,700 ",,22.0,Single-Family Home,"2,090",,3.0,3.0,2.0,2.0,14.0,990.0,136.0,,,,1.0,5.0,1.0,7.0,1.0,8.0,98.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,2.0,4.0,10.0,34.231386,-84.115758,4,2689,3.14,9.4,36.3,0.583,41,1.3,290.0,0.016,0.0091,1.3,0.033,0.00022,20,20,19,6,12,6,10,https://www.trulia.com/c/ca/p/ga/cumming/1700-pilgrim-rd-cumming-ga-30040--2029441840,4048136125.0,13.0,117.0,130409.0,2026.0,131171000000000.0,Block 2026,G5040,U,3817.0,U,S,522681.0,16486.0,34.231179499999996,-84.1100395
5883 Old Wellborn Trace,Lithonia,GA,30058.0,"$1,195 ",,3.0,Single-Family Home,"1,444",,3.0,3.0,2.0,2.0,241.0,15.0,502.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,33.722417,-84.148696,4,15721,3.14,9.86,35.3,1.25,54,2.4,170.0,0.028999999999999998,0.0091,0.81,0.055999999999999994,0.0027,73,98,48,1,8,6,6,https://www.trulia.com/c/ca/p/ga/lithonia/5883-old-wellborn-trce-lithonia-ga-30058--1044908196,4037514754.0,13.0,89.0,23309.0,1002.0,130890000000000.0,Block 1002,G5040,U,3817.0,U,S,367133.0,2135.0,33.7194845,-84.1433473
3211 Avensong Village Circle #1,Alpharetta,GA,30004.0,"$1,650 ",1995.0,31.0,Multi-Family,"1,432",,3.0,3.0,2.0,2.0,8.0,114.0,78.0,,,,1.0,8.0,1.0,8.0,1.0,9.0,98.0,1.0,0.0,0.0,27.0,4.0,1.0,3.0,26.0,2.0,26.0,16.0,34.106386,-84.263152,4,13320,3.14,9.71,36.4,0.981,48,1.8,300.0,0.024,0.011000000000000001,0.26,0.059000000000000004,7.8e-05,35,50,20,4,4,10,7,https://www.trulia.com/c/ca/p/ga/alpharetta/3211-avensong-village-cir-1-alpharetta-ga-30004--2354821200,3223437021.0,13.0,121.0,11614.0,1020.0,131210000000000.0,Block 1020,G5040,U,3817.0,U,S,60109.0,0.0,34.10485560000001,-84.2624625
400 South Preston Trail,Alpharetta,GA,30022.0,"$1,820 ",,21.0,Single-Family Home,"1,603",,3.0,3.0,2.0,2.0,96.0,88.0,374.0,,,,1.0,8.0,1.0,9.0,1.0,9.0,98.0,1.0,0.0,0.0,22.0,4.0,4.0,3.0,27.0,2.0,23.0,20.0,34.021817,-84.258643,4,9762,3.14,9.89,36.2,0.972,50,1.9,16.0,0.0035,0.011000000000000001,0.31,0.11,0.00023999999999999998,18,30,6,3,2,7,10,https://www.trulia.com/c/ca/p/ga/alpharetta/400-s-preston-trl-alpharetta-ga-30022--1073109744,4009714587.0,13.0,121.0,11424.0,1001.0,131210000000000.0,Block 1001,G5040,U,3817.0,U,S,2366619.0,2371.0,34.0128968,-84.257993
4255 Smoke Creek Parkway #C033,Snellville,GA,30039.0,$909 ,,1.0,Multi-Family,"1,120",,3.0,3.0,2.0,2.0,65.0,56.0,157.0,,,,1.0,5.0,1.0,6.0,1.0,3.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,33.776451,-84.054,4,4553,3.14,9.8,35.8,0.8140000000000001,49,1.9,120.0,0.024,0.0086,0.12,0.040999999999999995,0.0065,56,72,40,4,6,6,7,https://www.trulia.com/c/ca/p/ga/snellville/4255-smoke-creek-pkwy-c033-snellville-ga-30039--2177017013,4048999809.0,13.0,135.0,50709.0,2010.0,131351000000000.0,Block 2010,G5040,U,3817.0,U,S,1869074.0,20681.0,33.7809343,-84.05328259999999
930 Winthrope Chase Court,Alpharetta,GA,30009.0,"$1,795 ",,28.0,Single-Family Home,"1,530",,3.0,3.0,2.0,2.0,8.0,11.0,24.0,,,,1.0,6.0,1.0,8.0,1.0,9.0,99.0,0.0,0.0,0.0,70.0,2.0,10.0,8.0,54.0,3.0,60.0,23.0,34.090052,-84.28955,4,8354,3.14,9.72,36.4,0.924,48,1.8,370.0,0.019,0.011000000000000001,0.17,0.06,6.3e-05,25,38,12,3,2,10,10,https://www.trulia.com/c/ca/p/ga/alpharetta/930-winthrope-chase-ct-alpharetta-ga-30009--1002255874,4037728294.0,13.0,121.0,11614.0,3048.0,131210000000000.0,Block 3048,G5040,U,3817.0,U,S,56192.0,0.0,34.090560499999995,-84.2924105
120 York Road Southwest,Marietta,GA,30008.0,"$1,029 ",,15.0,Single-Family Home,"1,152",,3.0,3.0,2.0,2.0,,28.0,128.0,,44.0,,1.0,5.0,1.0,5.0,1.0,3.0,94.0,3.0,0.0,0.0,13.0,2.0,0.0,2.0,14.0,3.0,12.0,6.0,33.906929999999996,-84.599875,4,7177,3.14,9.97,35.3,0.853,49,1.9,63.0,0.024,0.016,0.11,0.034,0.00029,54,67,41,3,12,6,8,https://www.trulia.com/c/ca/p/ga/marietta/120-york-rd-sw-marietta-ga-30008--1070778758,4048413137.0,13.0,67.0,30905.0,3002.0,130670000000000.0,Block 3002,G5040,U,3817.0,U,S,1183715.0,0.0,33.8984905,-84.5948473
6124 Dana Court,Lithonia,GA,30058.0,"$1,125 ",,78.0,Single-Family Home,"1,400",,3.0,3.0,2.0,2.0,241.0,15.0,502.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,92.0,7.0,0.0,0.0,18.0,1.0,1.0,0.0,7.0,0.0,14.0,2.0,33.72341,-84.138962,4,16256,3.14,9.86,35.3,1.23,54,2.4,98.0,0.033,0.0091,0.99,0.054000000000000006,0.00031,74,98,51,2,9,7,5,https://www.trulia.com/c/ca/p/ga/lithonia/6124-dana-ct-lithonia-ga-30058--1004318509,4045198780.0,13.0,89.0,23309.0,3023.0,130890000000000.0,Block 3023,G5040,U,3817.0,U,S,296567.0,23557.0,33.7225597,-84.13494720000001
